trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN105330F600360:2021-12-08T20:44:38Z,07:27:00,07:27:00,StopPoint:OCENavette-87571240,0,,0,1,
OCESN105330F600360:2021-12-08T20:44:38Z,07:32:00,07:32:00,StopPoint:OCENavette-87571000,1,,1,0,
OCESN105340F600461:2021-12-08T20:44:38Z,12:25:00,12:25:00,StopPoint:OCENavette-87571240,0,,0,1,
OCESN105340F600461:2021-12-08T20:44:38Z,12:30:00,12:30:00,StopPoint:OCENavette-87571000,1,,1,0,
OCESN105342F502177:2021-12-09T20:47:39Z,17:24:00,17:24:00,StopPoint:OCENavette-87571240,0,,0,1,
OCESN105342F502177:2021-12-09T20:47:39Z,17:29:00,17:29:00,StopPoint:OCENavette-87571000,1,,1,0,
OCESN105342F605852:2021-12-08T20:44:38Z,17:20:00,17:20:00,StopPoint:OCENavette-87571240,0,,0,1,
OCESN105342F605852:2021-12-08T20:44:38Z,17:25:00,17:25:00,StopPoint:OCENavette-87571000,1,,1,0,
OCESN105345F603602:2021-12-08T20:44:38Z,19:40:00,19:40:00,StopPoint:OCENavette-87571240,0,,0,1,
OCESN105345F603602:2021-12-08T20:44:38Z,19:45:00,19:45:00,StopPoint:OCENavette-87571000,1,,1,0,
OCESN105346F499488:2021-12-11T20:46:47Z,20:21:00,20:21:00,StopPoint:OCENavette-87571240,0,,0,1,
OCESN105346F499488:2021-12-11T20:46:47Z,20:26:00,20:26:00,StopPoint:OCENavette-87571000,1,,1,0,
OCESN105347F603160:2021-12-08T20:44:38Z,22:10:00,22:10:00,StopPoint:OCENavette-87571240,0,,0,1,
OCESN105347F603160:2021-12-08T20:44:38Z,22:15:00,22:15:00,StopPoint:OCENavette-87571000,1,,1,0,
OCESN105350F600286:2021-12-08T20:44:38Z,05:55:00,05:55:00,StopPoint:OCENavette-87571240,0,,0,1,
OCESN105350F600286:2021-12-08T20:44:38Z,06:00:00,06:00:00,StopPoint:OCENavette-87571000,1,,1,0,
OCESN105362F608377:2021-12-08T20:44:38Z,10:38:00,10:38:00,StopPoint:OCENavette-87571240,0,,0,1,
OCESN105362F608377:2021-12-08T20:44:38Z,10:43:00,10:43:00,StopPoint:OCENavette-87571000,1,,1,0,
OCESN105367F451133:2021-12-08T13:03:12Z,19:02:00,19:02:00,StopPoint:OCENavette-87571240,0,,0,1,
OCESN105367F451133:2021-12-08T13:03:12Z,19:07:00,19:07:00,StopPoint:OCENavette-87571000,1,,1,0,
OCESN105375F429898:2021-12-08T20:44:38Z,10:18:00,10:18:00,StopPoint:OCENavette-87571240,0,,0,1,
OCESN105375F429898:2021-12-08T20:44:38Z,10:23:00,10:23:00,StopPoint:OCENavette-87571000,1,,1,0,
OCESN105375F497056:2021-12-11T20:46:47Z,10:16:00,10:16:00,StopPoint:OCENavette-87571240,0,,0,1,
OCESN105375F497056:2021-12-11T20:46:47Z,10:21:00,10:21:00,StopPoint:OCENavette-87571000,1,,1,0,
OCESN105377F600165:2021-12-08T20:44:38Z,13:26:00,13:26:00,StopPoint:OCENavette-87571240,0,,0,1,
OCESN105377F600165:2021-12-08T20:44:38Z,13:31:00,13:31:00,StopPoint:OCENavette-87571000,1,,1,0,
OCESN105377F603931:2021-12-08T20:44:38Z,13:29:00,13:29:00,StopPoint:OCENavette-87571240,0,,0,1,
OCESN105377F603931:2021-12-08T20:44:38Z,13:34:00,13:34:00,StopPoint:OCENavette-87571000,1,,1,0,
OCESN105378F495273:2021-12-11T20:46:47Z,15:38:00,15:38:00,StopPoint:OCENavette-87571240,0,,0,1,
OCESN105378F495273:2021-12-11T20:46:47Z,15:43:00,15:43:00,StopPoint:OCENavette-87571000,1,,1,0,
OCESN105378F600373:2021-12-08T20:44:38Z,16:03:00,16:03:00,StopPoint:OCENavette-87571240,0,,0,1,
OCESN105378F600373:2021-12-08T20:44:38Z,16:08:00,16:08:00,StopPoint:OCENavette-87571000,1,,1,0,
OCESN105378F601120:2021-12-08T20:44:38Z,16:02:00,16:02:00,StopPoint:OCENavette-87571240,0,,0,1,
OCESN105378F601120:2021-12-08T20:44:38Z,16:07:00,16:07:00,StopPoint:OCENavette-87571000,1,,1,0,
OCESN105379F600579:2021-12-08T20:44:38Z,13:26:00,13:26:00,StopPoint:OCENavette-87571240,0,,0,1,
OCESN105379F600579:2021-12-08T20:44:38Z,13:31:00,13:31:00,StopPoint:OCENavette-87571000,1,,1,0,
OCESN105390F500023:2021-12-08T20:44:38Z,22:03:00,22:03:00,StopPoint:OCENavette-87571240,0,,0,1,
